de,dsb
Wie kann ich den Mindestabstand selbst berechnen?,Kak mógu minimalny wótstawk sam wulicyś?
Bei der sachkundigen Führung durch die Enkel des Schriftstellers erfuhren wir viel Interessantes.,Pśi wěcywuznatem wjeźenju pśez źiśiźiśi spisowaśela smy zgónili wjele zajmnego.
Neben einem Audiosprachkurs enthalten die beiden kurze Übungsaufgaben.,Mimo rěcnego awdijowego rěcnego kursa wopśimujotej krotke zwucowańske nadawki.
"Es war einer meiner Freunde, der angerufen hat.","To jo był jaden z mójich pśijaśelow, kenž jo zazwónił."
"Wer Menschen führen will, muss hinter ihnen gehen.","Chtož co luźi wjasć, musy za nimi hyś."
Das Motiv wird dadurch nur auf das Wesentliche fokussiert.,Motiw se pśez to fokusěrujo jano na to bytostne.
So lassen sich eventuelle Verletzungen beim eigentlichen Training vermeiden.,Tak góźi se zadoraś ewentualnym zranjenjam pśi pópšawnem treningu.
Die Arbeiten an neuen zeitgemäßen Konturen des Museums kommen stetig voran.,Źěła na nowych nacasnych konturach muzeja wobstawnje doprědka pśidu.
Das betrifft insbesondere die vom Kohleausstieg betroffenen Gemeinden.,To pótrjefijo wósebnje wót zakóńcenja wudobywanja wugla pótrjefjone gmejny.
"Sie verstanden sich solange, bis sie anfingen, sich zu unterhalten.","Stej se tak dłujko rozměłej, až stej zachopiłej se rozgranjaś."
Ich zog aus dem Kühlschrank vier Stücke Sachertorte.,Som wuśěgnuł z chłoźeceje spižki styri kuski sachertorty.
In Schottland kann man in einer Pommesbude frittierte Mars-Riegel kaufen.,W Šotiskej móžoš w jadnej pomfritkowej budce fritěrowane Mars-rygle kupiś.
Der Marienkäfer Ambros saß friedlich in Max' Hundehütte.,Słyńcko Ambrož jo sejźeło měrnje w psowej buźe Maksa.
Halte dich immer für dümmer als die anderen – sei es aber nicht!,Źarž se za głupšego ako druge – ale njebuź!
"Ich habe heute keine Zeit, mich abends mit dir zu treffen.","Njamam źinsa casa, se wjacor zmakaś z tobu."
"Wenn ihr nicht aufhört herumzuschreien, werde ich nicht weiterarbeiten.","Gaž njepśestanjośo wokoło kśikaś, njeźěłam dalej."
Manchmal ist eine freundliche Geste mehr wert als viele Worte.,Wótergi jo pśijaśelna gesta wěcej gódna nježli wjele słowow.
"Verachtest du den Arzt, so verachte auch die Krankheit.","Gaž gójca zajśpiwaš, ga zajśpiwaj teke chórosć."
Der „Tag des Waldes“ 2021 rückt die Wichtigkeit der Aufforstung ins Bewusstsein.,„Źeń góle“ 2021 wuwědobnijo wažnosć sajźanja bomow.
Eine Karikatur in der Zeitung ist wie die Nase im Gesicht eines Menschen.,Karikatura w casniku jo ako nos we woblicu cłowjeka.
Viele Gehörlose empfinden sich nicht als behindert.,Wjele głuchych njezacuwa se ako zbrašne.
"Es ist gar nicht so einfach, immer vollkommen ehrlich zu sein.","Njejo zewšym tak lažko, pśecej dopołnje spšawny byś."
"Er fürchtet sich vor ihnen, aber er weiß, dass er sie derzeit nicht verhindern kann.","Wón se jich bój, ale wě, až jim tuchylu njezadora."
"Ein Kind, das seine Mutter am Schlafen hindert, schläft auch nicht.","Góle, kótarež swójej mamje spanje zawoborujo, teke njespi."
"Ich weiß, dass Sie sie sehen, aber schauen Sie sie wirklich an?","Wěm, až ju wiźiśo, ale glědaśo napšawdu na nju?"
"Tom war eifersüchtig, weil Maria nur Augen für Johannes hatte.","Tom jo był zawisny, dokulaž Marija jo jano wócy za Jana měła."
"Es ist mir egal, was Sie morgen vorhaben.","Jo mě wšojadno, co maśo witśe pśedwiźone."
Ich erwarte von deiner Arbeit das glücklichste Ergebnis.,Wócakujom wót twójogo źěła nejglucnjejšy wuslědk.
"Sie wollen Antworten auf Fragen, die Sie überhaupt nicht stellen dürften.","Cośo wótegrona na pšašanja, kótarež Wy zewšym njesměli stajaś."
"Als Hexe hast du dich von den Menschen fernzuhalten, das weißt du doch, oder?","Ako chódota maš se luźi zdalowaś, to źe wěš, abo?"
"Er dachte, es sei klug, das Angebot anzunehmen.","Wón jo myslił, až by mudrje było, pórucenje pśiwześ."
Das Lehrbuch ist reichlich mit Illustrationen und Fotos gestaltet.,Wucbnica jo bogaśe z ilustracijami a fotami wugótowana.
Damit verdienen Tom und Maria sich ihren Lebensunterhalt.,Z tym zasłužytej Tom a Marija swójo zežywjenje.
So weit ist das typisch für eine tropische Insel.,Tak daloko jo to typiske za tropisku kupu.
Der Baumarkt ist in der Nähe des Parks.,Loda za twaŕske maśizny jo w bliskosći parka.
"Erinnert sich jemand, warum wir uns dazu entschlossen haben?","Dopomina se něchten, cogoždla smy se za to rozsuźili?"
Also bleibt am Ende noch ein Blick in die Verkaufsstelle des Museums.,Toś wóstanjo na kóńcu hyšći póglěd do pśedawanišća muzeja.
Heute kann sie über die männlichen Kollegen lachen.,Źinsa móžo se wóna pśez muskich kolegow smjaś.
"Es ist plötzlich schon keine Decke mehr, auf der sie hängen.","Wóno njejo naraz žeden wjerch, na kótaremž wise."
"Vielleicht können sie sich dort um den Vogel kümmern, sagt der Großvater langsam.","Snaź mógu se tam wó ptaška staraś, groni starki pómałem."
"Mitten in der Nacht wachte Dorian plötzlich auf, wahrscheinlich war er eingeschlafen.","Srjejź nocy jo Dorian naraz wócuśeł, nejskerjej jo wusnuł."
Mein Freund sagte: Vielleicht ist jetzt bald Gelegenheit.,Mój pśijaśel groni: Snaź buźo něnt skóro składnosć.
Ein Mangel an sprachlicher Kommunikation führt zur Vereinsamung und zu einer sozialen Ausgrenzung.,Njedostatk rěcneje komunikacije wjeźo k wósamośenju a k socialnemu wugranicowanju.
Tom hat anscheinend schon wieder nichts zu tun.,Za zdaśim njama Tom južo zasej nic cyniś.
Mit beiden Händen hält ihm Jan den Ball entgegen.,Z wobyma rukoma jomu Jan balo napśeśiwo źaržy.
Diese sind in den einzelnen Handlungsfeldern dieses Konzeptes verankert.,Toś te su wustajone w jadnotliwych wobłukach jadnanja toś togo koncepta.
Tom wollte den Dschinnī zurück in die Flasche stecken.,Tom jo kśěł Dschinnija slědk do flaše zatkaś.
Kommunalfinanzen: Die finanzielle Entwicklung der Kommunen stellt sich sehr unterschiedlich dar.,Komunalne finance: Financielne wuwiśe komunow pśedstajijo se wjelgin rozdźělnje.
"Herr Präsident, meine sehr geehrten Damen und Herren Abgeordnete!","Kněz prezident, cesćone kněnje a kněze wótpósłańce!"
Dieses Land misst an seiner höchsten Stelle 179 Meter.,Toś ten kraj měri na swójom nejwušem městnje 179 metrow.
"Er ist gemacht aus Schleifsteinen, in die Tiergestalten eingemeißelt sind.","Jo źěłana z głaźonych kamjenjow, do kótarychž su zwěrjece póstawy wutśasane."
"Rache ist ein Gericht, das kalt serviert werden sollte.","Pomsć jo sudnistwo, kótarež měła se zymnje serwěrowaś."
Die Straßengesetze bleiben eine Definition des Begriffs „Verkehr“ schuldig.,Kazni drogow wóstanu definiciju zapśimjeśa „wobchad“ dłužne.
Bereits 1963 erschien die Erzählung über die Jüdin Hana auf Sorbisch.,Južo 1963 jo tšojeńko wó Žydowce Hanje wujšło serbski.
"Bitte lasse mich wissen, wenn du irgendwelche Fragen hast.","Pšosym daj mě wěźeś, gaž maš někake pšašanja."
Die Arbeit des Kuratoriums erfolgt auf der Grundlage einer eigenen Geschäftsordnung.,Źěło kuratorija pśewjeźo se na zakłaźe swójskego jadnańskego pórěda.
Die Durchschnittsdauer des Arbeitslebens soll um fünf Jahre erhöht werden.,Pśerězny cas pówołańskego žywjenja ma se pówušyś wó pěś lět.
Wir schützen deshalb vor allem unser Gesundheitssystem.,Šćitamy z tym wósebnje naš strowotniski system.
Sei ein sorbisches Genie und bearbeite alle Übungen der ersten 4 Lektionen.,Buź serbski ženij a wobźěłaj wšykne zwucowanja prědnych 4 lekcijow.
"Stellt die vor, die ihr auch zu Alternative anrechnen könnt.","Pśedstajśo tych, kótarychž móžośo teke k alternatiwje pśilicyś."
"Falls Sie einverstanden sind, senden Sie uns bitte ein unterzeichnetes Exemplar zurück.","Sćo-lic wobjadna, wrośćo nam pšosym pódpisany eksemplar."
Die Kunst der Parenthese ist eins der großen Geheimnisse der Beredsamkeit in der Gesellschaft.,Wuměłstwo parenteze jo jadno z wjelikich pótajmstwow powědanja w towarišnosći.
"Ich freute mich sehr, ihn zurückgehen zu sehen.","Som se wjaseliła, až wiźim jogo slědk hyś."
"Mein Körper ist wie eine Seifenblase, die bei Kontakt verschwindet.","Mójo śěło jo ako mydłowy puchoŕ, kenž se pśi kontakśe zgubijo."
Hoffentlich werden Sie Änderungsantrag 22 noch Ihre Zustimmung geben können.,Naźejucy móžośo naraźenjeju za změnu 22 hyšći pśigłosowaś.
Tom hat Australien vor ein paar Monaten verlassen.,Tom jo Awstralsku pśed pór mjasecami spušćił.
"Hülsenfrüchte gelten als wahres „Superfood“, besonders für Vegetarier oder Veganer.","Łušćinowe płody płaśe ako napšawdny „superfood“, wósebnje za wegetarijarjow abo weganarjow."
"Er hatte vergessen, welches Haus das seines Freundes war.","Wón jo zabył, kótary dom jo był ten jogo pśijaśela."
"Die Ehe ist eine gute Institution, aber ich bin nicht reif für eine Institution.","Manźelstwo jo dobra institucija, ale njejsom zdrjały za instituciju."
Im Fenster meines Schlafgemachs hängt eine blaue Traumfalle.,We woknje mójeje spańskeje śpy wise módre pasle snjow.
"Ich kam in der Nacht an, als er gerade abreiste.","Som pśišeł w tej nocy, ako jo rowno wótjěł."
"Wenn Sie hier sitzen, sind Sie umgeben von Miniaturgärten.","Gaž how sejźiśo, sćo wobdane wót miniaturnych zagrodow."
Wir schreiben ihnen einen Brief oder eine Whatsapp und laden sie in den Club ein.,Pišomy jim list abo whatsappku a pśepšosujomy jich do kluba.
In beiden Fällen darf man sehr skeptisch sein.,We wobyma padoma smějoš wjelgin skeptiski byś.
"Das ist keine wörtliche, sondern einfach nur eine falsche Übersetzung.","To njejo žeden pósłowny, ale jadnorje jano wopacny pśełožk."
"Sie ging nach draußen, um ein wenig frische Luft zu schnappen.","Wóna jo šła wen, aby pópadnuła pitśku fryšnego pówětša."
Außerdem bastelten die Schüler Lesezeichen in Form eines Raben.,Mimo togo su wukniki baslili cytańske znamjenja w formje wrona.
Diese Elemente verbanden sich ungeordnet wie in einem Eintopf.,Toś te elementy su se zwězali njerědowane ako w jězy z jadnogo gjarnca.
"Es waren mehr Zuschauer da, als ich erwartet hatte.","Jo było wěcej pśiglědowarjow how, ako som to wótcakował."
"Ich möchte nur, dass du weißt, wie sehr ich das schätze.","Cu jano, až wěš, kak wjelgin sebje to wažym."
Ich fühlte mich wie ein Ausgestoßener inmitten dieser Menschen.,Som se cuł ako wustarcony srjejź toś tych luźi.
"Das Kind hörte sofort auf zu weinen, als es seine Mutter sah.","Góle jo ned wopśestało płakaś, ako jo swóju mamu wiźeło."
Wir zündeten in unserem Zimmer erst einmal keine Kerzen an.,Njejsmy w našom rumje nejpjerwjej raz žednych swěckow zapalili.
Mein Chef hat immer etwas an mir auszusetzen.,Mój šef ma pśecej něco na mnjo wusajźiś.
Seine zitternden Hände straften seine ruhige Haltung Lügen.,Jogo tśěskotajucej ruce stej štrofowałej jogo měrne źaržanje śěła łdže.
Deutschland ist großes Unheil während des Krieges widerfahren.,Nimskej jo se wjelike zło za cas wójny stało.
"Ich muss los, meine Frau wartet auf mich.","Dejm wótejś, mója žeńska caka na mnjo."
"Außerdem duftet alles so schön nach dir, Papa.","Mimo togo wšykno tak rědnje za tobu wónja, papa."
"Versetzt euch in die Lage, als das musikalische Beispiel vorgestellt wurde.","Pśesajźćo se do situacije, ako se muzikowy pśikład pśedstajił."
Solch einen freundlichen Jäger wie dich gibt es bestimmt nur einmal.,Takego pśijaznego góńtwarja ako tebje mamy zawěsće jano raz.
Wir haben in letzter Zeit nur gutes Wetter gehabt.,Smy w slědnem casu jano dobre wjedro měli.
"Nein, ich komme nicht runter, sagte Luna, es ist noch nicht Frühling.","Ně, njepśiźom dołoj, jo groniła Luna, njejo hyšći nalěśe."
"Der Müller galoppiert durch das Dorf, am Ende des Dorfes liegt die Schmiede.","Młynik galopěrujo pśez wjas, na kóńcu jsy lažy kowalnja."
"Tom weigerte sich, mit den Meerschweinchen und Hamstern zu spielen.","Tom jo se wopěrał, z móŕskimi swinkami a zemcygarjami graś."
"Verwandelt er sich in eine Fahnenstange, kann er Flagge zeigen.","Pśeměnijo-li se wón do chórgojoweje žerźi, móžo wón chórgoj pokazaś."
Ihre Andacht beenden sie mit dem Vaterunser und legten sich hin.,Swóju nutśnosć skóńcyju wóni z Wóścenasom a su se lagnuli.
"Tom war verheiratet, aber er trug keinen Ring.","Tom jo był wóženjony, ale njejo žeden pjeršćeń nosył."
"Wir brauchen eine finanzielle Regelung, die den Lausitzern eine Zukunft sichert.","Trjebamy financne rědowanje, kótarež zawěsćijo Łužycanarjam pśichod."
Die neuen Voraussetzungen für geeignete Gebiete sind gut.,Nowe wuměnjenja za gódne strony su dobre.
Ich besitze eine beträchtliche Summe gesparten Geldes.,Ja wobsejźim nabejnu sumu nažarjonych pjenjez.
Zur Verwilderung besonders geeignet sind gewisse kleine Frühlingsarten.,K wóźiwjowanju góźe se wósebnje wěste małe nalětne družyny.
Der Übersetzer wird in seiner ersten Version noch nicht perfekt sein.,Pśełožowaŕ njebuźo w swójej prědnej wersiji hyšći perfektny.
Versuche bloß nicht die Suppe mit Stäbchen zu essen!,Njewopytaj jano zupu jěsć z kijaškami!
Das schöne Kappendach blieb am längsten ganz und gesund.,Rědne lapkowe kšywo jo wóstało nejdlej cełe a strowe.
Nach heutigem Kenntnisstand wäre ich lieber Fernsehmoderator oder Pressesprecher.,Pó źinsajšnem stawje wědy by ja lubjej był telewizijny moderator abo casnikaŕski powědaŕ.
"Du bist nicht einmal Manns genug, um deinen Fehler zuzugeben.","Ty njejsy razka muski dosć, aby swóju zmólku pśiwdał."
Das Geschäft bot während des Sommers spezielle Preisnachlässe.,Wobchod jo w běgu lěśa póbitował specielne pótuńšone płaśizny.
Sie legte das Nähwerk aus der Hand und stand auf.,Wóna jo połožyła šyty wuźěłk z ruki a jo stanuła.
"Um abzunehmen, habe ich damit angefangen, das Mittagessen ausfallen zu lassen.","Aby wótebrała, som z tym zachopiła wobjed wupadnuś daś."
Die Menschen dort leiden unter der Verseuchung des Leitungswassers.,Luźe tam śerpje pód zanjerěšenim wódy z wódowóda.
"Alles, was unser Land sich wünscht, ist Frieden.","Wšykno, což naš kraj se žycy, jo měr."
"Du wirst es nie vergessen, dessen bin ich mir ziemlich sicher.","Ty to žednje njezabydnjoš, togo som sebje kradu wěsty."
Der „Reigentanz“ ist eine Bewegung zum Tanz aus südeuropäischen slawischen Ländern.,„Kołoteptanje“ jo pógibowanje k rejam z pódpołdnjowych słowjańskich krajow.
Haben denn die Mädchen jetzt nur noch Kerle im Kopf?,Maju ga źowća něnto jano kjarle we głowje?
Entwicklungsgesellschaft Niederschlesische Oberlausitz mbH.,Wuwiśowa towarišnosć Dolnošlazyńska Górna Łužyca zwr.
Wir sind mit dem Unsichtbaren mehr verbunden als mit dem Sichtbaren.,Smy z njewidobnym wěcej zwězane ako z widobnym.
"Du kannst jeden besiegen, wenn du goldene Pantoffeln hast.","Móžoš nad kuždym dobyś, gaž maš złote pantochle."
Benedikt überlegt: Wer kann dem Vogel helfen?,Benedikt pśemyslujo: Chto móžo ptaškoju pomoc?
Bei Frauen im gebärfähigen Alter: Besteht zurzeit eine Schwangerschaft oder stillen Sie?,Pla młodšych žeńskich: Wobstoj tuchylu samodrugosć abo seśiśo Wy?
"Tom machte Maria den Vorschlag, sich zu entschuldigen und Wiedergutmachung zu leisten.","Tom jo pórucył Marji, se zagroniś a narownanje wugbaś."
Die Panschwitzerinnen werden im Verein keine weibliche Volleyballmannschaft mehr haben.,Pancańki w towaristwje wěcej žedno žeńskece wolejbulowe mustwo njezměju.
"Wie hilft man jemandem, der keine Hilfe will?","Kak pomogaš někomu, kenž njoco žedneje pomocy?"
Tom hat sich gestern endlich die Haare schneiden lassen.,Tom jo sebje cora skóńcnje dał włose rězaś.
Im Jahre 1581 ermordete Iwan der Schreckliche seinen Sohn.,W lěśe 1581 jo Iwan Tšašny zamordował swójogo syna.
Sie können sogar kopfüber an Baumstämmen laufen.,Wóni mógu samo z głowu naprědk gnaś pó štomach bomow.
Die Jugendlichen erkennen: Wegen eines interessanten Jobs muss man die Heimat nicht verlassen.,Młodostne spóznawaju: Zajmnego joba dla njetrjebaš domownju spušćiś.
"Kaum wurde der letzte Gast bedient, singt die Gans eine Arie.","Lěbda jo se pósłužył slědny gósć, spiwa gus ariju."
Bei längerer Trockenheit beginnen die Wurzeln abzusterben.,Pśi dlejšej suchośe zachopiju wótemrěś kórjenje.
Tom ist mit seinem Hubschrauber auf dem Dach gelandet.,Tom jo ze swójim helikopterom pśizemjeł na kšywje.
"Bereichert den Text mit Dialogen und Gefühlen, ganz nach eurer Phantasie.","Wobogaśćo tekst z dialogami a zacuśami, ceło pó wašej fantaziji."
In der Sowjetischen Besatzungszone durfte keine amerikanische Hilfe angenommen werden.,W sowjetskej wobsadniskej conje njejo se směło pśiwześ žedneje ameriskeje pomocy.
Der Benutzername muss mindestens zehn Zeichen enthalten.,Wužywaŕske mě dej měś nanejmjenjej źaseś znamuškow.
"Der weiße Zahn lacht nicht immer nur aus Freude, so das Sprichwort eines Unbekannten.","Běły zub njesmjejo se jano z wjasela, tak pśisłowo njeznatego."
