de,hsb
"Auch medizinische Kohle sollte zugeführt werden, welche das Gift bindet.","Tež medicinske wuhlo měło so dodawać, kotrež jěd wjaza."
"Typische Merkmale ihrer Erscheinung sind: Ein Spiegel, der ihre Schönheit symbolisiert.","Typiske přiznamjenja jeje wosoby su: Špihel, kotryž jeje rjanosć symbolizuje."
Der Kremser mit den Königswarthaer Blasmusikanten fuhr wie immer vorn.,Kremser z Rakečanskimi dujerjemi jědźeše kaž přeco prědku.
Informationsveranstaltungen halten sie in Schulungs- oder Vortragsräumen ab.,Informaciske zarjadowanja wotměwaja woni w kubłanskich abo přednoškowych rumnosćach.
Die Welt wartet keineswegs auf die Bevormundung durch Europa.,Swět nječaka nihdy nanihdy na pjeluchowanje přez Europu.
Die Sache wird schlimm enden.,Wěc skónči so zlě.
Besonders den Jugendgruppen hilft sie beim Antragstellen und der Abrechnung.,Wosebje młodźinskim cyłkam pomha wona při stajenju próstwow a wotličenju.
Wir werden bald einen Platz für dich finden.,Namakamy bórze městno za tebje.
"Was passiert, wenn Wasser gefriert?","Što so stanje, hdyž woda zmjerznje?"
Fritten-Fakten: Wer die Pommes erfunden hat.,Fakty fritkow: Štó pomfritki wunamakał je.
"Die Schüler lernen zu leiten, aber auch sich ein- bzw. unterzuordnen.","Šulerjo nawuknu nawjedować, ale tež so za- resp. podrjadować."
"Eine Konstruktion aus Stuhl und Fachwerk gebaut, ist vorstellbar.","Konstrukcija ze stołom a tykowanjom twarjena, je předstajomna."
"Wir wollen abgestimmte Recruiting-Formate durchführen, denn die Region verfügt über qualifizierte Fachkräfte.","Chcemy přiměrjene formaty posrědkowanja přewjesć, wšako ma region kwalifikowanych fachowcow."
"Sie verdächtigen Archie, Agatha ermordet zu haben.","Tukaja na Archija, zo je Agathu zamordował."
Mit der Gründung des Vereins erhält die Initiativgruppe Serbski Sejm einen neuen Träger.,Ze załoženjom towarstwa dósta iniciatiwna skupina Serbski sejm noweho nošerja.
"Er tat ihm nicht das geringste Unrecht, damit es still ist und isst.","Njesčini jemu najmjeńšeje křiwdy, zo by ćiche było a jědło."
Ein anderer deutscher Ausdruck dafür ist „Leittier“.,Druhi němski wuraz za to je „wodźace zwěrjo“.
Dies ist eines der trockensten Jahre seit Menschengedenken.,To je jedne z najsušišich lět za čłowjeske pomnjeće.
Die Untersuchung von Steinkohleproben erfordert Sorgfalt.,Přepytowanje probow kamjentneho wuhla žada sej swědomitosć.
"Kann ich dir eine schwere, aber dumme Frage stellen?","Móžu ći ćežke, ale hłupe prašenje stajić?"
"Diese ist ihr kein Herzensanliegen, sie hat ein taktisches Verhältnis zu ihr.","Tuta njeje jej wutrobita naležnosć, ma k njej taktiski poměr."
Die nachhaltige Landbewirtschaftung ist durch diverse Einkommensmöglichkeiten recht gut ausgebaut.,Naslědne wobhospodarjenje pódy je přez wšelake móžnosće dochodow dosć derje rozšěrjene.
"Dein Monat, April genannt, hat angefangen.","Twój měsac, haperleja mjenowany, je so započał."
Russland erstreckt sich über zwei Kontinente.,Ruska wupřestrěwa so přez dwaj kontinentaj.
Das bekannteste Kleinod des Dorfes ist das Schloss und der dazugehörige Park.,Najznaćiša parla wjeski je hród a jemu přisłušacy park.
"In dieser Höhle haben sie versucht, einen 28-Stunden-Tag zu leben.","W tutej prózdnjeńcy su spytali, 28hodźinski dźeń žiwi być."
Die aufgezeigten Mängel sind im Wesentlichen altbekannt.,Wotkryte njedostatki su zwjetša staroznate.
"Ich hatte Glück, kein Stau auf dem Weg.","Ja mějach zbožo, žane zatykane puće."
"Ich danke dir, mein Freund Krabat.","Dźakuju so ći, mój přećelo Krabato."
Der Mensch braucht nicht einzugreifen.,Čłowjek njetrjeba zakročić.
Minimalinvasive Laser-OP: Die modernste OP-Variante erfolgt mit dem Thulium-Laser.,Minimalnje inwaziwna laserowa OP: Najmoderniša warianta OP přewjedźe so z tuliumowym laserom.
"Dann verriet er mit einem Lächeln, dass er seine Lage nicht so rosig sieht.","Potom z posměwkom přeradźi, zo swoje połoženje tak róžojte njewidźi."
Das ist eine Neuerung in der Arbeit der Gremien der Domowina.,To je nowostka w dźěle gremijow Domowiny.
Das Zitat findet sich in dem Buch „Im raschelnden Laub der Vergangenheit.“,Citat namaka so w knize „W chróskotacym lisću zašłosće.“
"Wichtig ist allerdings, dass die Liste regelmäßig aktualisiert wird.","Wažne wšak je, zo so lisćina prawidłownje aktualizuje."
Die Stipendien werden jährlich zu Beginn des Sommersemesters öffentlich ausgeschrieben.,Stipendije so lětnje na spočatku lětneho semestra zjawnje wupisaja.
"Unser zahnloser Professor weigert sich, einen Zahnarzt aufzusuchen.","Naš bjezzubny profesor so spjećuje, k zubnemu lěkarjej hić."
"Als ich in Seitschen geboren wurde, wo mein Vater ein Häuschen hatte.","Hdyž buch w Žičenju narodźeny, hdźež mój nan chěžku měješe."
"Also: nein, lieber nicht.","Potajkim: ně, radšo nic."
Die Lunge und das Herz arbeiten schneller.,Płuca a wutroba spěšnišo dźěłaja.
Dort kann es sich gut vervielfältigen.,Tam móže so derje rozmnožić.
"Sie hat in sich so eine Melancholie, was dich ins Träumen führt.","Ma w sebi tajku melancholitu, štož će do sonjenja wjedźe."
Doch damit gibt er sich nicht zufrieden.,Tola z tym so njespokoja.
Ich möchte einen würzigen Tofu und eine Buchstabensuppe in französischer Sprache.,Chcu korjenjojty tofu a pismikowu poliwku w francoskej rěči.
"Mein Telefon klingelt, jetzt sind wir wirklich zu spät.","Mój telefon klinka, nětko smy woprawdźe přepozdźe."
Ihr freutet euch über das neue Buch des schwedischen Autors.,Wy so přez nowu knihu šwedskeho awtora wjeselešće.
Die ersten Tagebaue wurden schon während der Jahrtausendwende geflutet.,Prěnje jamy so hižo za čas wróćicy mileniuma zapławichu.
Vor allem kabellose Staubsauger röhren in der Maximalstufe manchmal sehr laut.,Předewšěm bjezkablowe prochsrěbaki ruja w maksimalnym schodźenku druhdy jara wótře.
"Die Puppen griffen sie an, sie schimpften und weinten auf sie.","Klanki dachu so do njeje, swarjachu a płakachu na njeju."
Ein außergerichtlicher Vergleich zwischen beiden Parteien war vor einem Monat gescheitert.,Zwonkasudniske zjednanje mjez woběmaj stronomaj bě před měsacom zwrěšćiło.
Ein weiterer Höhepunkt war der Besuch der “Hummel Hana”.,Dalši wjeršk bě wopyt “Čmjeły Hany”.
Magisches Denken kann uns schwierige Situationen erleichtern.,Magiske myslenje móže nam ćežke situacije wolóžić.
Resozialisierung ist die Wiedereingliederung des Täters in die Gesellschaft nach dem Gefängnisaufenthalt.,Resocializacija je znowazarjadowanje skućićela do towaršnosće po přebywanju w jastwje.
Das saftige Backofensteak wurde bei Niedrigtemperatur perfekt medium gegart.,Juškojty steak z pjecy bu při niskej temperaturje perfektnje medium dopječeny.
"Denn die Prostata kann, vereinfacht gesagt, unterschiedlich nach innen oder außen wachsen.","Přetož prostata móže, zjednorjenje prajene, rozdźělnje nutř abo won rosć."
Sie ist und bleibt ein Solitär.,Wona je a wostanje soliter.
Was wird aus uns werden?,Što so z nami stanje?
Ist die Aussage klar verständlich?,Je wuprajenje jasnje zrozumliwe?
Welche Lebensmittel hat Stiftung Warentest aktuell auf Acrylamid geprüft?,Kotre zežiwidła je załožba Warentest aktualnje na acrylamid pruwowała?
Der Produktionsstandort Kolín in Tschechien kam auch dazu.,Produkciske stejnišćo Kolín w Čěskej přińdźe k tomu.
Geschwister und Großeltern haben übrigens keinen Anspruch auf einen Pflichtanteil.,Bratřa a sotry a wowki a dźědojo nimaja připódla prajene žane prawo na winowatostny podźěl.
Die Anzahl der Stammgruppen ist von der Schülerzahl abhängig.,Ličba zakładnych skupinow je wotwisna wot ličby šulerjow.
Das nächste Treffen findet im September in Dresden statt.,Přichodne zetkanje so w septembru w Drježdźanach wotměje.
Dieses Bedürfnis bedient die AfD mit ihrer gesellschaftsnostalgischen Melodie.,Tutu potrjebu posłužuje AfD ze swojej towaršnostno-nostalgiskej melodiju.
Dem Waffenstillstand folgen meist Friedensverhandlungen.,Přiměrej sćěhuja zwjetša jednanja wo měr.
Diese Aufgabe wurde stets mit großer Kreativität und Begeisterung übernommen.,Tutón nadawk přewza so stajnje z wulkej kreatiwitu a zahoritosću.
Welche Pfarrgemeinde spaltete sich im Jahre 1772 von Crostwitz ab?,Kotra wosada wotpači so w lěće 1772 wot Chrósćic?
Und auf jeden Fall können wir auch mal Telefonieren.,A na kóždy pad móžemy tež raz telefonować.
"Erkläre, warum Japan eine Wirtschaftsmacht ist.","Rozłož, čehodla je Japanska hospodarska móc."
Ab dem Jahr 1949 war er als freier Schriftsteller tätig.,Wot lěta 1949 skutkowaše jako swobodny spisowaćel.
So genannte Verbindungen aus Cumarin verbergen sich in Mäusegiften.,Tak mjenowane wjazby z cumarina chowaja so w jědach přećiwo myšam.
"Pommes gibt es in jedem Fast-Food-Restaurant, sie sind aber keine US-amerikanische Erfindung.","Pomfritki dawaja w kóždym fastfood-hosćencu, njejsu pak US-ameriska wunamakanka."
Damit endete ihre politische Selbstständigkeit.,Z tym skónči so jich politiska samostatnosć.
Die Kehrseite des darin möglichen „Heimgefühls“ ist die Entmündigung.,Druha strona toho w nim móžneho „začuća domizny“ je zmałolětnjenje.
Zum Anbraten von Zwiebeln verwendete er Wurstschmalz.,Za popječenje cyblow wužiwaše wón kołbasowy šmałc.
"Heute komme ich nicht zur Probe, weil ich krank bin.","Dźensa njepřińdu na probu, dokelž sym chory."
Ich gebe Ihnen recht: In Moldawien bahnt sich eine ernsthafte politische Krise an.,Dam Wam prawje: W Moldawskej přizjewja so chutna politiska kriza.
Auch Ötzi haben wir selbstverständlich gesehen.,Tež Ötzija smy samozrozumliwje widźeli.
Beim Aufsetzen des Testaments müssen einige Dinge beachtet werden.,Při spisanju testamenta dyrbja so někotre wěcy wobkedźbować.
"Besonders Pferde haben ihren Fitz mit ungebetenen Gästen, wie Bremsen.","Wosebje konje maja swoju lubu nuzu z njeprošenymi hosćimi, kaž ćelčkami."
Leider aber sind die Dörfer im weiten Maße eingedeutscht.,Bohužel pak su wsy do dalokeje měry přeněmčene.
Das Buch trägt den fast gebieterischen Titel: „Die notwendigen Engel“.,Kniha ma nimale rozkazowarski titul: „Trěbni jandźeljo“.
Gleichzeitig führte die Industrialisierung zu einer zunehmenden sozialen Ungleichheit.,Zdobom wjedźeše industrializacija k přiběracej socialnej njerunosći.
"Polizei und Miliz waren massiv präsent, hielten sich aber im Hintergrund.","Policija a milica běštej masiwnje prezentnej, dźeržeštej pak so wróćo."
Plötzlich hat sie eine super gute Idee.,Nadobo ma wona super dobru ideju.
In der Braunkohlegrube Jänschwalde wird heute wieder gearbeitet.,W brunicowej jamje Janšojce wot dźensnišeho zaso dźěłaja.
Sie sind aus den sogenannten „unsicheren Ländern“.,Woni su z tak mjenowanych „njewěstych krajow“.
"Wir brauchen hier in Straßburg keinen glänzenden, glamourösen Mercedes-Benz-Fuhrpark.","Njetrjebamy tu w Straßburgu žadyn błyšćacy so, glamurozny Mercedes-Benz wozydłowy park."
Es bedarf mehr Dialog.,Je wjac dialoga trjeba.
Hauptsächlich bestand die Wallanlage aus einem Wall in Form eines Kreises.,Hłownje wobsteješe hrodźišćo z nasypa w formje kruha.
Der Konflikt bleibt bis heute ungelöst.,Konflikt wostawa hač do dźensnišeho njerozrisany.
Tatsächlich verhält es sich viel komplizierter.,Woprawdźe ma so to wo wjele komplikowanišo.
Also zum Allerheiligsten.,Potajkim k najswjećišemu.
Trotzdem schicke ich ihn als Anlage mit.,Přiwšěm ju jako přiwěšk sobu sćelu.
Denkt nicht nur ans Trinken … Fröhlichkeit ist geboten!,Njemysliće jenož na tutkanje … wjesołosć je kazana!
Zu einem deftigen Imbiss gehören Würstchen im Schäldarm.,K jaknemu zakuskej słušeja kołbaski k bělenju.
Oder wird die EU ein Gegengewicht zur Dominanz der USA bilden?,Abo budźe EU wurunanje přećiwo dominancy USA tworić?
"Sie weiß nicht, wie es ist, sich frei zu bewegen.","Wona njewě, kak to je, so swobodnje pohibować."
Bei schlechtem Wetter blieben die Wagen im Schlamm stecken.,Při špatnym wjedrje wostachu wozy w błóće tčacy.
Sehr geehrter Herr Bürgermeister Ahrens!,Česćeny knježe měšćanosta Ahrens!
Das Klopapier ist alle.,Faluje nuznikowa papjera.
Thermische Hoch- und Tiefdruckgebiete entstehen auch durch Temperaturveränderungen.,Termiske wyšiny a nižiny nastawaja tež při změnach temperatury.
Dadurch fällt auch das Atmen schwerer.,Tam so tež ćešo dycha.
1990 kam es zur Beendigung der Postzustellung und ab sofort durch Kamenz.,1990 dóńdźe k zakónčenju roznošowanja póšty a wotnětka přez Kamjenc.
Regnet es dort oft?,Dešćuje so tam husto?
Der Garten diente ihr als Rückzugsraum und Ort der Inspiration.,Zahroda słužeše jej jako městnosć wotpočinka a inspiracije.
Alle drei sind wir auf dem Weg in die Stadt Bremen.,Wšitcy třo smy po puću do města Bremen.
"Das ist keine Unterhaltung, sondern blanke Quälerei!","To njeje zabawa, to je hoła dračina!"
Aus diesem Grunde kann die Kommission diesen Änderungsantrag nicht billigen.,Z tuteje přičiny njemóže komisija tutón namjet na změnu za dobry spóznać.
Ermittle den Kalkgehalt des Bodens.,Zwěsć wobstatk wapna pódy.
An heißen Sommertagen verbringen Zauneidechsen die meiste Zeit im Halbschatten.,Na horcych lětnich dnjach wostawaja płotowe ješćelcy najwjace časa w połsćinje.
Auf dem Stein eines Arztes erblicke ich in der Mitte ein Äskulapstab.,Na kamjenju lěkarja wuhladam srjedźa eskulapowy kij.
"Die studierenden Sorben hatten nicht viel Gelegenheit, sich in der Muttersprache zu vervollkommnen.",Studowaći Serbja njemějachu wjele přiležnosće so w maćernej rěči wukmanjeć.
Dazu sind alle Einwohnerinnen in die Mehrzweckhalle eingeladen.,Na to su wšitke wobydlerki do wjacezaměroweje hale přeprošene.
Und das im wahrsten Sinne des Wortes.,A to w połnym zmysle słowa.
Eines von sachsenweit sieben Endroprothetikzentren der Maximalversorgung steht in Oschatz.,Jedyn z po cyłej Sakskej sydom endroprotetiskich centrow maksimalneho zastaranja steji w Oschatzu.
"„Ist das Eure Schreibmaschine, Durchlaucht?“ fragte Tom den Fürsten.","„Je to Waša pisanska mašina, Waša jasnosć?“ wopraša so Tom wjercha."
Etwa eine Million Menschen erbauten dieses gigantische Bauwerk.,Něhdźe jedyn milion ludźi twarješe tutón gigantiski twar.
Denn alles an dieser Suada ist schändlich.,Přetož wšitko na tutej suadźe je wohańbjace.
Bioindikatoren reagieren in wahrnehmbarer Weise auf Umweltbelastungen.,Bioindikatory reaguja na pytnjomne wašnje na poćežowanja wobswěta.
Der Grund war ein Großeinsatz im deutsch-polnischen Grenzraum.,Přičina běše wulkozasadźenje w němsko-pólskej pomjeznej kónčinje.
Vor allem die Linke klagt wegen eines höheren Schadens als vor fünf Jahren.,Předewšěm Lěwica skorži dla wjetšeje škody hač před pjeć lětami.
"Wir haben gelernt, dass der Pearl Index der Pille 0,1 bis 0,9 ist.","Smy nawuknyli, zo je pearl index pile 0,1 do 0,9."
In den Wochen vor der Europawahl wurde das sehr deutlich.,W tydźenjach do europskich wólbow bu to jara jasne.
Diese Veröffentlichungen sind heute noch wichtig und lesenswert.,Tute wozjewjenja su dźensa hišće wažne a čitanja hódne.
So festigten die Schüler das Wissen aus dem Unterricht und konnten dieses anwenden.,Tak skrućichu šulerjo wědu z wučby a móžachu tutu nałožować.
Was ist ambulante Pflege?,Što je ambulantne hladanje?
Der Erzähler fährt mit dem Finger weiter durch den Kaffeesatz.,Powědar jědźe z porstom dale přez mućenk.
"Zeichne in eine Karte Asiens die Gebiete ein, die vom Monsun beeinflusst werden.","Zarysuj do karty Azije kónčiny, kotrež so wot monsuna wobwliwuja."
Dort war er in der ersten Reihe und sehr breit tätig.,Tam skutkowaše w prěnim rynku a jara šěroko.
Die Pyramide in Lohsa ist ein Restaurant.,Pyramida we Łazu je hosćenc.
Monumental ist der Friedhof auf seine Weise aber doch.,Monumentalny pak kěrchow na swoje wašnje tola je.
Ich will keine königlichen Schätze.,Nochcu žane kralowske bohatstwa.
In Agrarräumen überwiegt die landwirtschaftliche Produktion.,W agrarnych rumach přewahuje ratarska produkcija.
Ein Gründungszuschuss kann in 2 Phasen gewährt werden.,Přiražka za załoženje móže so w 2 fazomaj přizwolić.
Deshalb führt das Staatsministerium des Innern bis auf Weiteres auch keine Informationsschulungen durch.,Tohodla njepřewjedźe statne ministerstwo nutřkowneho mjeztym tež žane informaciske kubłanja.
"Auf Sie bauen wir gern, für Sie sind wir gern tätig.","Na Was rady twarimy, za Was rady skutkujemy."
Wird die Kommission dringlich diese Situation untersuchen und Bericht erstatten?,Budźe komisija naležnje tutu situaciju přepytować a poda rozprawu?
Auf der einen Seite haben wir die Vorteile der 4-Tage-Woche betrachtet.,Na jednym boku smy sej lěpšiny 4-dnjowskeho tydźenja wobhladali.
